number,start_date,name,contents,topic,type,exp,hours,status
1,10/11/13,Try Ruby (15 minute short tutorial),http://tryruby.org,Ruby,Tutorial,25,0.5,0
2,10/11/13,Complete parts 1 to 8 of Ruby path at codeacademy.com ,"(sign up yourself for a free account)
http://www.codecademy.com/tracks/ruby",Ruby,Tutorial,200,2,0
3,10/11/13,Complete Ruby Bits at codeschool.com,"login: ning.yap@gmail.com
pass: fanyap
https://www.codeschool.com/courses/ruby-bits",Ruby,Tutorial,200,2,0
4,10/11/13,"Write a Ruby program (hello.rb)
","Write a Ruby program (hello.rb) that prompts the user for a name (""What is your name?"") and then outputs ""Hello [name]!"" You would execute the program in Terminal by typing: ruby hello.rb",Ruby,Coding,50,0.5,0
5,10/11/13,Write Logic Statements,https://gist.github.com/aviflombaum/fd375100f4410dbbf184,Ruby,Coding,50,0.5,0
6,10/11/13,Solve FizzBuzz,https://gist.github.com/aviflombaum/41960b3fcda7f0893dad,Ruby,Coding,50,0.5,0
7,10/11/13,Complete parts 1 to 6 of web path at codeacademy.com,http://www.codecademy.com/tracks/web,HTML,Tutorial,200,2,0
8,10/11/13,Overview of HTML/CSS,http://learn.shayhowe.com/html-css/,HTML/CSS,Reading,100,1,0
9,10/11/13,ZetCode SQLite3 Tutorial,"Follow along tutorial of SQLite3 (In your Terminal, type command sqlite3)
http://zetcode.com/db/sqlite/
(This might be hard to follow, so let me know if you need help getting started)",SQL,Tutorial,400,4,0
,,Method Chaining,https://gist.github.com/aviflombaum/1dfdad1bbbe5b38eea5f,,,,,
,,TempBot,https://gist.github.com/aviflombaum/50e37f854fc9fe9b6f15,,,,,
,,Array Exercise,https://gist.github.com/ningbit/5337bf8317163b700561,,,,,
,,Command Line Jukebox,https://gist.github.com/aviflombaum/054f03bd21fa61020dac,,,,,
